data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-10-13,7.80,23.67,87.21,2.13,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-13,0.00,23.88,57.12,5.30,0,MG,BELO HORIZONTE - CERCADINHO
2023-10-13,0.00,26.37,64.87,1.65,1,ES,VITORIA
2023-10-14,0.00,27.05,73.71,1.55,1,BA,SALVADOR
2023-10-16,0.00,25.57,46.00,3.51,1,DF,BRASILIA
2023-10-19,2.60,21.32,74.42,8.19,1,MG,BELO HORIZONTE - CERCADINHO
2023-10-21,3.20,19.31,81.38,7.42,1,MG,BELO HORIZONTE - CERCADINHO
2023-10-22,0.00,23.09,73.29,1.72,1,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-23,0.00,32.80,48.29,2.10,1,MT,CUIABA
2023-10-24,0.00,26.55,75.71,0.85,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-24,0.00,24.67,46.21,4.61,0,MG,BELO HORIZONTE - CERCADINHO
2023-10-25,43.41,28.73,59.96,2.25,1,MT,CUIABA
